posted,neighborhood,post title,number bedrooms,sqft,price
2020-12-11 09:48:00,Mission District,Spacious! Architect/Owner Redesigned Victorian for Modern Living,1,850,"$2,975"
2020-12-11 09:47:00,San Francisco,7134 Geary Blvd.,3,1200,"$3,400"
2020-12-11 09:47:00,Alamo Square,"NEW GREAT PRICE!ALAMO SQUARE,NEW REMODELED 2 BRS/1BA!SMALL PET SUBMIT!",2,NA,"$2,950"
2020-12-11 09:47:00,Inner Richmond,Inner Richmond/Lake District Corner 2nd Floor 2 Bed 1 Bath Apartment,2,700,"$2,800"
2020-12-11 09:47:00,Ingleside,Main House near Balboa BART Station and CCSF.,3,1400,"$3,650"
2020-12-11 09:47:00,Lower Haight,"Newly Remodeled 3BR, Sh laundry/yard, Pkg Avail (2177 O'Farrell St.)",3,NA,"$5,495"
2020-12-11 09:47:00,Mission District,Inner Mission Spacious 1 Bed 1Bath walking to 24th St.,1,650,"$2,400"
2020-12-11 09:47:00,Portola District,Convenient Location 3 Bed 2 Bath Flat at San Bruno Ave,3,1250,"$3,300"
2020-12-11 09:47:00,Nob Hill,Top Floor 3 Rooms flat at border of North Beach and Nob Hill.,3,900,"$3,300"
2020-12-11 09:47:00,North Beach,2nd Floor 2 Bedroom flat at prime Telegraph Hill.,2,800,"$3,300"
2020-12-11 09:46:00,Marina,"Large Cow Hollow apt,Gorgeous deck, Laundry (2170 Filbert #203)",1,NA,"$3,195"
2020-12-11 09:46:00,Lower Haight,Lower Haight near Duboce Park,1,NA,"$2,395"
2020-12-11 09:46:00,North Beach,Ground Floor 1 Bedroom flat at prime Telegraph Hill,1,600,"$2,000"
2020-12-11 09:46:00,Soma,Great Deal! 1 Bed 1 Bath In Central location! Call For Details!,1,NA,"$1,899"
2020-12-11 09:46:00,Nob Hill,Top Floor 2 Bedroom flat at border of North Beach and Nob Hill.,2,750,"$3,000"
2020-12-11 09:46:00,Mission District,Sunny Inner Mission Top Floor Flat with 3 Beds a one Split Bath,3,1500,"$4,300"
2020-12-11 09:46:00,Pacific Heights,"*Gorgeous,Bright apt,Views(2011 Sacramento #2)",3,NA,"$3,750"
2020-12-11 09:46:00,Inner Richmond,Corner Front Apt*LG-Bright & Sunny*-Carpet-Laundry*Garage Available,1,650,"$2,195"
2020-12-11 09:46:00,Nob Hill,1733 Jones Street -Russion Hill flat w/ 4 Rooms total,2,NA,"$4,300"
2020-12-11 09:46:00,Mission District,Large Sunny Dolores Street Flat,2,1342,"$3,800"
2020-12-11 09:45:00,Sunset,Outer Sunset / Top Floor Unit w/ partial views,1,NA,"$2,150"
2020-12-11 09:45:00,West Portal,XL-Top Front*Like a Flat*Formal Dining Rm*Hardwood Floor*Fireplace,1,NA,"$2,450"
2020-12-11 09:45:00,Hayes Valley,"Wood-Style Flooring Throughout, nearby freeway access,2 months Free",2,912,"$3,400"
2020-12-11 09:45:00,Pacific Heights,"Spacious Fully Renovated, Bay/GG Views, Pkg avail(1740 Broadway #404)",2,NA,"$5,895"
2020-12-11 09:44:00,San Francisco,Beautiful Updated 2 Bedroom 1 Bathroom home in San Francisco,2,750,"$2,537"
2020-12-11 09:44:00,Soma,Spacious 2x1 Bedroom With City View! Call Today For A Tour!,2,NA,"$2,299"
2020-12-11 09:43:00,Pleasure Point,Completely Renovated 2 Bedroom in Santa Cruz,2,NA,"$2,895"
2020-12-11 09:42:00,Soma,"1 Bed, 1 Bath | 650 sq ft | Get 8 Weeks Free @ 923 Folsom!",1,621,"$2,532"
2020-12-11 09:41:00,Haight Ashbury,"Two Bedroom, One Bath, LOCATION, LOCATION",2,NA,"$2,495"
2020-12-11 09:41:00,Richmond,BEAUTIFUL ONE-BEDROOM APARTMENT IN LAKE STREET AREA,1,NA,"$2,350"
2020-12-11 09:40:00,Potrero Hill,Amazing high ceilings! 2 bedroom 2 bath! Great View and Light!,2,1134,"$4,118"
2020-12-11 09:40:00,Twin Peaks,Front Apt.*Deck*NEW CARPET*Firepl-Dishwr-Laundry*Garage Included*,1,NA,"$2,449"
2020-12-11 09:40:00,Inner Richmond,XXL-Front *Modern*Light & Bright*Fireplace-Carpet-Laundry-Garage Avail,2,1000,"$2,795"
2020-12-11 09:40:00,Mission District,Large One Bedroom with Space For Home Office. 3 Months Free,1,788,"$2,648"
2020-12-11 09:39:00,Usf,Studio*Anza Vista Neighborhood* 4 unit building*Carpet* *,1,NA,"$1,775"
2020-12-11 09:39:00,Twin Peaks,Front Apt.*Deck*NEW CARPET*Firepl-Dishwr-Laundry*Garage Available**,1,NA,"$2,299"
2020-12-11 09:38:00,Noe Valley,Gr8 location ~ Rent includes Utilities  ~ Modern 2 Bedroom,2,750,"$2,995"
2020-12-11 09:38:00,Glen Park,"4br/2ba ►Remodeled, Full-Floor Flat, in a 3-unit, private building",4,NA,"$5,199"
2020-12-11 09:38:00,Soma,3-4br/2ba ►REMODELED FULL-FLOOR FLAT,4,NA,"$3,899"
2020-12-11 09:37:00,Pacific Heights,Two Weeks Free! Bright One Bed One Bath with shared backyard!,1,NA,"$2,750"
2020-12-11 09:37:00,Inner Richmond,►Bright Updated 2 Bedroom + Bonus Room◄,2,900,"$3,400"
2020-12-11 09:36:00,Pacific Heights,"Two bed, 1 1/2 bath with parking and large backyard!",2,NA,"$4,100"
2020-12-11 09:36:00,Lower Nob Hill,Your Future Dream Location is Waiting!..,2,785,"$3,150"
2020-12-11 09:36:00,Inner Richmond,Inner Richmond Large Studio with Bed Alcove-,NA,NA,"$1,850"
2020-12-11 09:35:00,Alamo Square,Completely Remodeled Top Floor Two Bed One Bath Apartment ~ J.Wavro,2,NA,"$3,600"
2020-12-11 09:35:00,Central Sunset,Clean and Cozy Junior 1 Bedroom/Studio Unit,NA,250,"$1,350"
2020-12-11 09:34:00,Marina,"Gorgeous, Bright, High Ceilings, Fully Remodeled 1BD",1,NA,"$2,395"
2020-12-11 09:34:00,Soma,"Bright, spacious top floor live/work loft with views and roof deck.",1,1100,"$3,200"
